title,desc_snippet,yoe_min_years_llm,seniority_final,op,period
Junior ERP DevOps Engineer,"At Credence, we support our clients' mission-critical needs, powered by technology. We provide cutting-edge solutions, including AI/ML, enterprise modernization, and advanced intelligence capabilities, to the largest defense and health federal organi",1,entry,OP_A2_junior_jr_title,2026-04
Junior Software Developer,"Altamira Technologies has a long and successful history providing innovative solutions throughout the U.S. National Security community. Headquartered in McLean, Virginia, Altamira serves the defense, intelligence and homeland security communities wor",1,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer,"W2 Contract
 

 Onsite in Riviera Beach, FL
 

 Jr SWE
 

 35-40/HR
 

  

 MUST HAVES:
 

**requires C\+\+, docker and gitlab experience.** 

  

  

*Equal Opportunity Employer/Veterans/Disabled* 

  

*Benefit offerings include medical, dental, vi",,entry,OP_A2_junior_jr_title,2026-04
Junior AI/ML Engineer (Data & Cloud Platforms),"******About Mod Op******
 Mod Op is a full-service advertising agency able to offer clients a full suite of solutions. Mod Op can offer you access to low-cost, high-quality health care options and a team of enthusiastic, collaborative and motivated c",1,entry,OP_A2_junior_jr_title,2026-04
Junior Systems Engineer,"**Overview**
**Job Summary**
 Galapagos Federal Systems LLC is looking for a Junior Systems Engineer position. This role offers the opportunity to work with a diverse and talented group of individuals committed to driving success.
   

  

 The Junio",3,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer (Hybrid) - 28171,"Enlighten, honored as a Top Workplace from USA Today, is a leader in big data solution development and deployment, with expertise in cloud-based services, software and systems engineering, cyber capabilities, and data science. Enlighten provides cont",0,entry,OP_A2_junior_jr_title,2026-04
Junior Data Engineer - Remote / Telecommute,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Cynet Systems, is seeking the following. Apply via Dice today!
   

  

 We are looking for
 **Junior Data Engineer** 
**- Remote / Telecommute** 
 f",3,entry,OP_A2_junior_jr_title,2026-04
"Software Engineer ? Autonomy Software, Junior","**Who We Are:** 
 AM Pierce \& Associates and Applied Technologies Group (ATG), a wholly owned subsidiary of AM Pierce and Associates, is a woman-owned small business providing Engineering \& Research, Cyber, C5ISR, Program \& Acquisition Management ",,entry,OP_A2_junior_jr_title,2026-04
Jr Software Engineer,"**Who We Are**
 Spot \& Tango is an innovative pet health \& wellness brand that delivers personalized meal plans on a subscription basis. Our recipes are developed by leading animal nutritionists, and are made with only real, human-grade ingredients",0,entry,OP_A2_junior_jr_title,2026-04
Junior Software Engineer,"IERUS specializes in electromagnetics phenomenology, computational analytics (algorithm acceleration and machine learning), and weapon systems engineering. These competencies introduce exciting opportunities for a driven software engineer. With proje",1,entry,OP_B_explicit_entry_family,2024-01
Associate Cloud Engineer (Hybrid),"Associate Cloud Engineer - IE08IE
We’re determined to make a difference and are proud to be an insurance company that goes well beyond coverages and policies. Working here means having every opportunity to achieve your goals – and to help others acco",3,unknown,OP_B_explicit_entry_family,2024-01
Research Associate - Senior Front-End Web Developer,"We are looking for a Senior Front-End Developer who will collaborate with a team of scientific application developers, software developers, and educators to develop rich and complex UI applications. The candidate will work at the RCSB Protein Data Ba",5,mid-senior,OP_B_explicit_entry_family,2024-01
Senior Associate Application Engineer (ServiceNow),"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a dif",1,mid-senior,OP_B_explicit_entry_family,2024-01
Software Engineer- Burlington- Associate- Asset & Wealth Management,"Job Description
What We Do
At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. J",,associate,OP_B_explicit_entry_family,2024-01
Jr. Software Development Engineer,"Description
Amazon is looking for a highly-motivated Jr. Software Development Engineer (SDE)! Jr. SDEs write real software and collaborate with experienced software engineers who provide guidance and opportunities for ownership on projects that matte",,entry,OP_B_explicit_entry_family,2024-01
Senior Associate Application Engineer,"Discover. A brighter future.
With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a dif",1,mid-senior,OP_B_explicit_entry_family,2024-01
"Associate Manager, Data Engineer","SC JOHNSON IS A FIFTH-GENERATION FAMILY COMPANY BUILT ON THE SPIRIT OF OUR PEOPLE. We have been leading with purpose for over 130 years, building iconic brands that win the hearts and minds of consumers – such as Raid®, Glade®, Ziploc® and more, in v",5,associate,OP_B_explicit_entry_family,2024-01
Associate Application Engineer,"Description
We’re Hiring for an Associate Application Engineer!
If you are excited and passionate about helping #LetsSolveWater, consider joining our team today!
Xylem, Inc.
is a leading global water technology company servicing more than 150 countri",0,unknown,OP_B_explicit_entry_family,2024-01
Associate Salesforce Developer,"TITLE:
Salesforce Developer
Duration:
Contract to Perm
Location:
Camden NJ – onsite 4 days a week
Skills:
Strong SQL experience
o Data Warehouse
o Stored Procedures
o Proven experience working with Large SQL data sets: Queries with millions of record",,associate,OP_B_explicit_entry_family,2024-01
Jr. ServiceNow Developer/System Programer I,"THIS POSITION IS BASED IN RAMSEY NJ - IT'S NOT REMOTE
Position Objective
The Junior ServiceNow Developer which is equivalent to a System Programmer I at Konica Minolta will be a key member of the Quality System Support (QSS) team which is responsible",,entry,OP_B_explicit_entry_family,2024-01
Jr Embedded Engineer,"As a Junior Embedded Engineer, you will have the opportunity to work alongside experienced engineers and contribute to the development of embedded software and hardware solutions. You will be involved in designing, coding, testing, and debugging embe",,entry,OP_B_explicit_entry_family,2024-01
Jr. Manufacturing/Systems Engineer,"We live and foster an ownership culture, in which every employee takes personal responsibility for our company's success. We trust and empower our leaders to act as owners, direct their teams, and innovate to succeed. We communicate openly and honest",,entry,OP_B_explicit_entry_family,2024-01
Junior Fullstack Java Programmer,"Responsibilities:
Develop and maintain server-side applications using Java and Spring Boot.
Design and implement scalable and responsive front-end solutions.
Collaborate with cross-functional teams to define, design, and ship new features.
Ensure the",,entry,OP_B_explicit_entry_family,2024-01
"Junior Data Engineer (SQL, Azure Data Factory, PowerApps, C#)","Waferwire is seeking a talented and motivated Data Engineer with 1-2 years of experience to join our dynamic team. The ideal candidate will possess a strong background in data engineering, with expertise in data requirements, modeling, management, an",1,entry,OP_B_explicit_entry_family,2024-01
Junior Data Engineer,"We are a technology-based firm that utilizes our proprietary platform to develop and implement quantitative strategy overlays for our clients. We deploy our strategies across equities, futures, and foreign exchange instruments. Our clients include in",,entry,OP_B_explicit_entry_family,2024-01
Software Engineer - Entry Level,"Salary: $65,000 - 85,000/year
We tap into the power of emerging technologies and scientific breakthroughs to create solutions and products that address the largest and most complex issues faced by global companies. By blending technology with our ind",,entry,OP_B_explicit_entry_family,2024-01
Junior Software Developer,"Software Developer
Duties And Responsibilities
Responsibilities include, but are not limited to:
Support the integration of new Red Hat Enterprise Linux (RHEL) versions and related support libraries with existing C/C++, Java, and Python code base, in",5,entry,OP_B_explicit_entry_family,2024-01
Junior System Engineer,"Description:
Analyzes user’s requirements, concept of operations documents, and high level system architectures to develop system requirements specifications. Analyzes system requirements and leads design and development activities. Guides users in f",7,entry,OP_B_explicit_entry_family,2024-01
Entry Level Software Developer,"Salary: $65,000 - 85,000/year
We tap into the power of emerging technologies and scientific breakthroughs to create solutions and products that address the largest and most complex issues faced by global companies. By blending technology with our ind",,entry,OP_B_explicit_entry_family,2024-01
Full Stack Engineer - Junior/Mid-level,"Who We Are
We are a small team of passionate problem solvers with a commitment to excellence in software development. We care deeply about teamwork and are committed to producing real value for our customers. We believe in taking initiative and follo",2,entry,OP_B_explicit_entry_family,2024-01
Jr. Software Developer & Engineer/Analyst,"Under the direction of senior systems and software engineers, the Engineer / Analyst will perform software development and integration of models into the distributed execution environment of IAMD M&S capabilities to include IAMDSIM and ETESIM. In add",,entry,OP_B_explicit_entry_family,2024-01
Junior Java Developer,"Essential Duties and Responsibilities
Ability to develop efficient technical solutions in a diverse application environment consisting of corporate and custom-made software systems.
Communicate very effectively with process owners and management, int",3,entry,OP_B_explicit_entry_family,2024-01
KR194CSWE1 - Associate Cloud Software Engineer - Cleared,"This position will have a primary focus of supporting all aspects of agile software design and development. Duties include development of new capabilities, testing, optimization and performance tuning, operation, and sustainment functions. As a Cloud",2,unknown,OP_B_explicit_entry_family,2024-01
Associate Software Developer,"Opentext - The Information Company
As the Information Company, our mission at OpenText is to create software solutions and deliver services that redefine the future of digital. Be part of a winning team that leads the way in Enterprise Information Ma",1,entry,OP_B_explicit_entry_family,2024-01
Junior Test Automation Engineer,"Must have at least 3+ years of work Experience as Test Automation Engineer/Application Engineer
100% Onsite role.
Job responsibilities:
•
o Analyze customer requirements, technical documentation, BOM setup and verify First Article orders are accurate",3,entry,OP_B_explicit_entry_family,2024-01
Associate Data Engineer,"Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data, a",1,associate,OP_B_explicit_entry_family,2024-01
Associate Software Developer,"Red Cedar TG is seeking a dynamic, proactive, and self-starting Associate Software Developer to join our team.
Missing a certification for this position? Red Cedar TG will work with candidates that are otherwise fully qualified to help them obtain re",,unknown,OP_B_explicit_entry_family,2024-01
"Senior Software Engineer, Front End - Principal Associate","Company Description
Jobs for Humanity is partnering with Capital One to build an inclusive and just employment ecosystem. Therefore, we prioritize individuals coming from the following communities: Refugee, Neurodivergent, Single Parent, Blind or Low",5,mid-senior,OP_B_explicit_entry_family,2024-01
Junior Systems Engineer,"We are seeking a highly motivated and technically skilled Junior Systems Engineer to join our dynamic team. As a Junior Systems Engineer, you will play a vital role in supporting our infrastructure, assisting with system maintenance, troubleshooting,",,entry,OP_B_explicit_entry_family,2024-01
"Machine Learning Engineer Graduate (CV/NLP/Multimodal LLM, TikTok Trust and Safety) - 2026 Start (BS/MS)","**Responsibilities**
 The algorithm team is responsible for developing state-of-the-art computer vision, NLP and multimodality models and algorithms to protect our platform and users from the content and behaviors that violate community guidelines an",,entry,OP_B_explicit_entry_family,2026-04
"Associate Software Engineer, Core Infrastructure - Moveworks","**Company Description**
 It all started in sunny San Diego, California in 2004 when a visionary engineer, Fred Luddy, saw the potential to transform how we work. Fast forward to today — ServiceNow stands as a global market leader, bringing innovative",,unknown,OP_B_explicit_entry_family,2026-04
Associate Application Developer 2026,"**Introduction**
 In this role, you will join IBM Consulting via our world-class Associate Program for university hires. As an Associate Consultant at IBM Consulting, you will have the opportunity to work with a diverse range of clients worldwide. Ou",,unknown,OP_B_explicit_entry_family,2026-04
Associate CNO Software Engineer,"MANTECH seeks a skilled and mission-focused
 **Associate CNO Software Engineer** 
 to join our team in
 **Aurora, CO.**
 In this role, you will contribute to the development of advanced CNO capabilities that directly support national security. You’ll",4,unknown,OP_B_explicit_entry_family,2026-04
Java Developer – Server Side (Associate),"In the Technology division, we leverage innovation to build the connections and capabilities that power our Firm, enabling our clients and colleagues to redefine markets and shape the future of our communities.
   

  

 This is a Software Engineerin",2,associate,OP_B_explicit_entry_family,2026-04
Software Engineer - Junior Level,"**Job Description**
 At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. F",7,entry,OP_B_explicit_entry_family,2026-04
Associate Software Engineer - Seeking 2025 & 2026 Grads,"Veeva Systems is building the industry cloud for Life Sciences to help companies work in a more efficient and connected way. Learn more about our products, vision and values, and status as a public benefit corporation on our website.
   

  

**The R",0,entry,OP_B_explicit_entry_family,2026-04
Jr. Software Developer (Full Stack),"Dice is the leading career destination for tech experts at every stage of their careers. Our client, eSolutionsFirst, LLC, is seeking the following. Apply via Dice today!
   

  

**Qualifications**
 3\+ years experience in Information Technology.
  ",3,entry,OP_B_explicit_entry_family,2026-04
Junior Software Engineer,"The Junior Software Engineer will work as part of the larger team to help in the design, development, and integration of applications that support our client's applications.
 

  

**Minimum Requirements:** 

* Bachelor's degree in Computer Science o",,entry,OP_B_explicit_entry_family,2026-04
Junior Software Engineer with Security Clearance,"Description Active Top Secret (TS/SCI) clearance with polygraph is required. Visionist has an exciting new, fully FUNDED opportunity for a Junior Software Engineer on our largest PRIME contract. Our team of Analysts and Engineers is motivated by the ",3,entry,OP_B_explicit_entry_family,2026-04
entry level AI engineer/Junior java developer,"**“Failing Tech Interviews? Or No Interviews ? Lets get you offers with a plan”** 

  

  

 Getting interviews but not converting them into offers is one of the most frustrating stages of a tech job search. It’s also one of the most fixable—because ",,entry,OP_B_explicit_entry_family,2026-04
Jr. DevOps Engineer - Hybrid,"**About Us**
 We’re the world’s leading provider of secure financial messaging services, headquartered in Belgium. We are the way the world moves value – across borders, through cities and overseas. No other organisation can address the scale, precis",0,entry,OP_B_explicit_entry_family,2026-04
Entry-Level Software Engineer,"**Position Overview**
 At International, we’re not just driving change in the transportation industry; we’re pioneering a cleaner, more sustainable future where generations can thrive.
   

  

 This is an exhilarating time to join International as w",0,entry,OP_B_explicit_entry_family,2026-04
Associate Software Engineer - Developer,"**Job Description**
 At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. F",2,associate,OP_B_explicit_entry_family,2026-04
Junior Software Development Engineer in Test (SDET),"Dice is the leading career destination for tech experts at every stage of their careers. Our client, HTD Resources, LLC, is seeking the following. Apply via Dice today!
   

  

**Job Description:**
**🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨🚨
   

  

 ⚠️🚨 Importa",3,entry,OP_B_explicit_entry_family,2026-04
"Graduate 2026 Software Engineer I, Mobile (iOS)","**About the role and team** 
 Engineering at Uber means building for real-world impact under real-world constraints. You'll join a team that builds the platforms and services powering safe, affordable, and reliable movement in over 10,000 cities worl",,entry,OP_B_explicit_entry_family,2026-04
Senior AI/ML Engineer Associate,"PLEASE DO NOT SUBMIT RESUME IF YOU JUST GRADUATED IN LAST 3 years.
 

 PLEASE DO NOT SUBMIT RESUME IF YOU JUST GRADUATED IN LAST 3 years
 

 PLEASE DO NOT SUBMIT RESUME IF YOU JUST GRADUATED IN LAST 3 YEARS
 

  

 SENIOR Machine Learning Engineer As",5,mid-senior,OP_B_explicit_entry_family,2026-04
Jr Level Software Developer,"In Order to Join the ELEVI Team you will need:
   

  

* You must have a current or active security clearance with a poly.
* Possess Seven (7\) \+ years of experience as a software engineer in programs and contracts of similar scope, type, and compl",4,entry,OP_B_explicit_entry_family,2026-04
Jr Software Developer,"In Order to Join the ELEVI Team you will need:
   

  

* You must have a current or active security clearance with a poly.
* The ELEVI team is currently seeking a Junior Developer who has a foundational understanding of end-to-end software developme",,entry,OP_B_explicit_entry_family,2026-04
Software Engineer / Associate / Senior Developer /,"**Discover a more connected career**
 We are seeking a high-capacity, versatile
 **Systems Developer** 
 to join our adaptive technology team. This role is designed for a professional who excels in a dynamic, high-velocity environment where business ",,mid-senior,OP_B_explicit_entry_family,2026-04
Junior Java Developer,"**Location:** 
 Philadelphia, PA
   

  

**Description:** 
 Our client is currently seeking a Junior Java Developer
   

  

 We are looking for junior full-stack engineers to join the Personal Advisor Services (PAS) Enrollment team. You'll work alo",1,entry,OP_B_explicit_entry_family,2026-04
Entry Level Back End Developer 2026,"**Introduction**
 At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you",1,entry,OP_B_explicit_entry_family,2026-04
"Senior Associate, Data Engineer","**Key Responsibilities** 

* Lead the design, development, and optimization of scalable data pipelines and data platforms
* Drive implementation of data management MVPs, including governance, metadata, and quality frameworks
* Build and manage data s",,associate,OP_B_explicit_entry_family,2026-04
Java Engineer - Associate,"**Position Overview**
**Job Title** 
 J ava Engineer
   

  

**Corporate Title** 
 Associate
   

  

**Location** 
 Cary, NC
   

  

**Who we are:**
*In short – an essential part of Deutsche Bank’s technology solution, developing applications for ",,unknown,OP_B_explicit_entry_family,2026-04
"Associate, Software Engineer","**About The Role**
 Total Wine \& More is seeking a
 **Associate Software Engineer** 
 to join our engineering modernization team in our Boca Raton, FL or Bethesda, MD offices. We are passionate about building scalable, performant cloud-based web app",2,associate,OP_B_explicit_entry_family,2026-04
Software Development Engineer (Associate or Mid-Level),"**Job Description**
 At Boeing, we innovate and collaborate to make the world a better place. We’re committed to fostering an environment for every teammate that’s welcoming, respectful and inclusive, with great opportunity for professional growth. F",2,associate,OP_B_explicit_entry_family,2026-04
Junior Data Engineer,"Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritio",0,entry,OP_B_explicit_entry_family,2026-04
Associate Software Engineer,"Description - External
   

  

 Optum is a global organization that delivers care, aided by technology, to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with th",1,unknown,OP_B_explicit_entry_family,2026-04
Entry Level software Developer,"**About the Role:**
 Revature helps motivated individuals kick start a career in tech. With our
 **Entry Level Software Developer** 
 role, there is no prior professional experience required. Our employees are well-prepared with effective, proven, on",,entry,OP_B_explicit_entry_family,2026-04
"Software Engineer ? Autonomy Software, Junior","**Who We Are:** 
 AM Pierce \& Associates and Applied Technologies Group (ATG), a wholly owned subsidiary of AM Pierce and Associates, is a woman-owned small business providing Engineering \& Research, Cyber, C5ISR, Program \& Acquisition Management ",,entry,OP_B_explicit_entry_family,2026-04
Staff Cyber Systems Engineer Product Manager,"At Northrop Grumman, our employees have incredible opportunities to work on revolutionary systems that impact people's lives around the world today, and for generations to come. Our pioneering and inventive spirit has enabled us to be at the forefron",9,mid-senior,OP_C_junior_in_desc,2024-01
"Senior, Software Engineer","Position Summary...
What you'll do...
As a Senior Software Engineer of Mainframe and more, you will be working with the Benefits Tech team to deliver Benefits business team needs. This team delivers system approaches to Benefits provided by the compa",7,mid-senior,OP_C_junior_in_desc,2024-01
Senior Software Engineer,"Dice is the leading career destination for tech experts at every stage of their careers. Our client, Jobot, is seeking the following. Apply via Dice today!
Senior .NET Engineer - C#/Azure + Javascript - Remote
This Jobot Job is hosted by: Cassidy Moy",7,mid-senior,OP_C_junior_in_desc,2024-01
"Staff Fullstack Engineer, Startup","This role is for a client of Recruiting from Scratch.
Who is Recruiting from Scratch :
Recruiting from Scratch is a premier talent firm that focuses on placing the best product managers, software, and hardware talent at innovative companies. Our team",,mid-senior,OP_C_junior_in_desc,2024-01
Lead Software Developer,"The Lead Software Developer reviews, analyzes, designs, and modifies systems including encoding, unit testing, debugging and documenting programs. Relies on experience and judgment to plan and accomplish complicated tasks.
Duties And Responsibilities",10,mid-senior,OP_C_junior_in_desc,2024-01
Senior Software Engineer,"Our north star is to make healthcare more accessible around the world. We are doing this by advancing cell biology to develop innovative solutions for human health.
Founded in 2012, and located in one of the largest biotech hubs in the world, Slingsh",5,mid-senior,OP_C_junior_in_desc,2024-01
"Sr. Software Engineer-Haskell/Clojure/Erlang/F#-Austin, Dallas, San Antonio","H-E-B Digital builds the tech that feeds Texas.
Come join us at H-E-B Digital and be a partner in building the next generation of digital innovations that enhance how Texans find inspiration from food, make food decisions, and ultimately get food int",7,mid-senior,OP_C_junior_in_desc,2024-01
Embedded C Software Engineer Lead - 24192,"W-2 Only, no C2C. This is an on-site position (no remote or hybrid candidates).
An iMPact Business Group client is seeking to hire multiple Embedded C Software Developers.
This position is for Senior-level level Embedded C Software Engineer who has e",,mid-senior,OP_C_junior_in_desc,2024-01
Senior Embedded Systems Engineer,"APPLICATION INSTRUCTIONS:
CURRENT PENN STATE EMPLOYEE (faculty, staff, technical service, or student), please login to Workday to complete the internal application process. Please do not apply here, apply internally through Workday.
CURRENT PENN STAT",14,mid-senior,OP_C_junior_in_desc,2024-01
Sr. Principal Systems Engineer - Radar Systems,"Job title:
Sr. Principal Systems Engineer (Radar)
Job location:
Dayton, OH
Travel:
Some travel required (10%) to provide support for field tests, demonstrations, and customer meetings.
Work week:
Monday through Friday, hybrid work setting
Compensatio",15,mid-senior,OP_C_junior_in_desc,2024-01
"Looking for Microsoft Full Stack Engineer - Chicago, IL - Fulltime","Hi,
I hope you are doing well!
We have an opportunity for
Microsoft Full Stack Engineer
with one of our clients for
Chicago, IL
Please see the job details below and let me know if you would be interested in this role.
If interested, please send me a ",9,unknown,OP_C_junior_in_desc,2024-01
Senior Machine Learning Engineer - Amgen,"Career CategoryInformation SystemsJob Description
HOW MIGHT YOU
DEFY
IMAGINATION
?
You’ve worked hard to become the professional you are today and are now ready to take the next step in your career. How will you put your skills, experience and passio",3,mid-senior,OP_C_junior_in_desc,2024-01
Junior Embedded System Engineer,"Flemington, NJ
Onsite, Permanent, Full Benefits
The Junior Embedded System Engineer will help our team continue to innovate and deliver high-quality products. The engineer will fix bugs, develop features, and expand and improve drivers. The Junior Em",,entry,OP_C_junior_in_desc,2024-01
"Senior Salesforce Developer, APO Engineering","Description
Amazon Web Services (AWS) has been at the forefront of the cloud computing revolution since its inception in 2006. The AWS Partner Network (APN) represents a crucial ecosystem that we have cultivated alongside our extensive network of con",8,mid-senior,OP_C_junior_in_desc,2024-01
Systems Engineering Lead,"Who We Are
Textron Systems is part of Textron, a $14 billion, multi-industry company employing 35,000 talented makers, thinkers, creators, and doers worldwide. We make things that fly, hover, zoom and launch. Things that move people. Protect soldiers",10,mid-senior,OP_C_junior_in_desc,2024-01
Python Developer | Elite Trading Firm,"Python Developer | Elite Trading Firm
One of the world's most established trading institutions and global market makers is looking to expand it's elite team of engineers. With partnerships spanning over 70 exchanges worldwide, their mission revolves ",2,unknown,OP_C_junior_in_desc,2024-01
Jr. Software Engineer.,"ABANA Enterprises Group Co. is seeking a Jr. Software Engineer to join our team in the banking industry. The successful candidate will work closely with our senior engineers to design, develop, and maintain banking software applications. This is a gr",0,entry,OP_C_junior_in_desc,2024-01
"Staff Software Engineer, Database Engine","About The Team
Data protection needs for large enterprises are evolving into a varied usage of private/public clouds. While Rubrik has built incredibly successful solutions for both, our technical architecture needs to constantly evolve to fit our cu",10,mid-senior,OP_C_junior_in_desc,2024-01
Senior Software Engineer,"Client: John Deere
Location: Des Moines, Iowa (Hybrid from Day 1)
Relevant Work Experiences
Product design, test and/or analysis experience. (4 - 7 years)
Previous experience in programming/software development. (4 - 7 years)
Software development pro",4,mid-senior,OP_C_junior_in_desc,2024-01
Senior GEOINT System Engineer with Security Clearance,"ECS is seeking a Senior GEOINT System Engineer to work in our Warner Robins, GA office. Please Note: This position is contingent upon [contract award OR additional funding]. Job Description: ECS is seeking a highly qualified Senior GEOINT System Engi",6,mid-senior,OP_C_junior_in_desc,2024-01
204.2 - System Engineer III - (TS/SCI with Full Scope Poly REQUIRED),"This position is contingent upon Government funding * **Remote opportunities available ~2 days a week**
Next Phase Solutions and Services, Inc. seeks a Systems Engineer to join the development team on one of our (many) government programs. Be part of",20,unknown,OP_C_junior_in_desc,2024-01
Senior Salesforce Application Developer with Security Clearance,"Overview Overview Are you innovative? Problem solver? Dedicated and persistent? Ever worked as part of a program that is Agile? Are you interested in being an agent of change on a team committed to achieving client-focused, mission-driven excellence?",10,mid-senior,OP_C_junior_in_desc,2024-01
"Software Engineer II, AWS DynamoDB Request Router","DESCRIPTION
Want to shape the future of a NoSQL database service that supports mission-critical workloads operating at more than 20 million requests per second? Let's take its speed and efficiency to the next level!
Amazon DynamoDB is a key-value and",3,unknown,OP_C_junior_in_desc,2024-01
Systems Engineer (Senior-Level),"CEdge has an opportunity for a
Systems Engineer (Senior),
located in
Springfield, VA
. If you are ready to work alongside World Renowned Technology experts, and carry the skills below, this is the opportunity that will inevitably take your career to ",5,mid-senior,OP_C_junior_in_desc,2024-01
Senior Android Developer,"We believe in better. And we make it happen.
Better content. Better products. And better careers.
Working in Tech, Product or Data at Sky is about building the next and the new. From broadband to broadcast, streaming to mobile, SkyQ to Sky Glass, we ",,mid-senior,OP_C_junior_in_desc,2024-01
Staff Software Engineer (Hybrid / On-Site) #2489,"GRAIL is a healthcare company whose mission is to detect cancer early, when it can be cured. GRAIL is focused on alleviating the global burden of cancer by developing pioneering technology to detect and identify multiple deadly cancer types early. Th",8,mid-senior,OP_C_junior_in_desc,2024-01
Lead Software Architect,"At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shar",15,mid-senior,OP_C_junior_in_desc,2024-01
Senior Azure Data Engineer,"Title: Senior Azure Data Engineer
Location: Weehawken, NJ [Day 1 Onsite (Hybrid)]
Duration: 6+ Months (Possibility of Extension)
Implementation Partner: Infosys
End Client: To be Disclosed
Jd
In your role as a Senior Azure Data Engineer, you will be ",,mid-senior,OP_C_junior_in_desc,2024-01
"Senior, Software Engineer","Position Summary...
What you'll do...
We are seeking an experienced and highly motivated Senior Software Engineer to join our team. The ideal candidate will have a strong background in software development, excellent problem-solving skills, and a pas",5,mid-senior,OP_C_junior_in_desc,2024-01
"Senior Software Engineer, Advanced Analytics","Build the future of data. Join the Snowflake team.
We’re at the forefront of the data revolution, committed to building the world’s greatest data and applications platform. Our “Get It Done” culture allows everyone at Snowflake to have an equal oppor",8,mid-senior,OP_C_junior_in_desc,2024-01
"Senior Software Engineer, Machine Learning - Consumer ML","**About The Team**
 Come help us build the world's most reliable on-demand, logistics engine for last-mile retail delivery! We're looking for an experienced machine learning engineer to help us develop modern growth and personalization models that po",5,mid-senior,OP_C_junior_in_desc,2026-04
Avionics / Embedded Software Engineer I - Early Career (2026 Starts),"**Application Close Date**
 Applications will be accepted on an ongoing basis until the requisition is closed.
   

  

 At Blue Origin, we envision millions of people living and working in space for the benefit of Earth. We’re working to develop reu",,entry,OP_C_junior_in_desc,2026-04
Senior Test Engineer,"**Job Description**
 POSITION SUMMARY:
   

  

 The Senior Test Engineer at TransMedics designs, develops, troubleshoots and debugs test equipment and processes to support manufacturing and development of TransMedics’ Organ Care System (OCS). Workin",8,mid-senior,OP_C_junior_in_desc,2026-04
Senior Software Engineer,"**Description**
 Whisker is redefining what it means to live with cats—designing intelligent systems that remove friction, elevate the everyday, and celebrate the quiet brilliance of feline companionship. Today, Litter-Robot leads the category. Tomor",7,mid-senior,OP_C_junior_in_desc,2026-04
Staff Software Engineer,"**Overview**
 Intuit is undergoing a critical transition, expanding its focus from the Small and Midsize Business (SMB) segment into the large, complex Mid-Market (MM) segment. We are seeking a highly experienced and influential Staff Engineer to joi",8,mid-senior,OP_C_junior_in_desc,2026-04
Senior Full Stack Engineer (Hybrid - Manhattan based 1-2x week),"PolyAI automates customer service through lifelike voice assistants that let customers lead a conversation. Our voice assistants make it possible for businesses to deliver outstanding customer service that rivals their human agents. Our customers, wh",5,mid-senior,OP_C_junior_in_desc,2026-04
Senior Data Engineer,"**Job Description**
 A Boston-based organization in the global travel and hospitality industry is seeking a Senior Data Engineer to join its Technology team. In this role, you will help build and maintain modern data infrastructure using technologies",8,mid-senior,OP_C_junior_in_desc,2026-04
ServiceNow Developer (AI & Intelligent Automation Focus),"**Summary**
**ServiceNow Developer (AI \& Intelligent Automation Focus)**
**Springfield, VA**
 Are you ready to enhance your skills and build your career in a rapidly evolving business climate? Are you looking for a career where professional developm",5,mid-senior,OP_C_junior_in_desc,2026-04
Senior Lead Data Engineer - Financial Accounting,"**Job Description**
 You have the opportunity to unleash your full potential at a world-renowned company and take the lead in shaping the future of technology.
   

  

 As a Senior Lead Data Engineer at JPMorgan Chase within Enterprise Technology, y",5,mid-senior,OP_C_junior_in_desc,2026-04
Power Systems Engineer,"The Aerospace Corporation is the trusted partner to the nation's space programs, solving the hardest problems and providing unmatched technical expertise. As the operator of a federally funded research and development center (FFRDC), we are broadly e",8,mid-senior,OP_C_junior_in_desc,2026-04
